Player,Market Value
Juan Foyth,€10.00m
Raphael Framberger,-
Tyrese Francois,€300k
Bartol Franji?,€1.00m
Przemys?aw Frankowski,€7.00m
Ryan Fraser,€1.80m
Davide Frattesi,€22.00m
Fred,€10.00m
Ryan Fredericks,-
Iván Fresneda,€12.00m
Remo Freuler,€4.00m
Michael Frey,€500k
Marco Friedl,€12.00m
Marvin Friedrich,€1.80m
Jeremie Frimpong,€35.00m
Chris Führich,€10.00m
Angelo Fulgini,€5.00m
Niclas Füllkrug,€5.00m
Matteo Gabbia,€20.00m
Manolo Gabbiadini,€400k
Gianluca Gaetano,€5.00m
Roberto Gagliardini,€1.40m
Adolfo Gaich,€800k
Cody Gakpo,€65.00m
Javi Galán,€2.00m
Iñigo Ruiz de Galarreta,€2.50m
Pablo Galdames Millán,Not Found
Conor Gallagher,€35.00m
Antonino Gallo,€4.00m
Gauthier Gallon,€600k
Cristian Gamboa,-
Kévin Gameiro,-
Idrissa Gana Gueye,€1.00m
Ignatius Ganago,€2.00m
Silvère Ganvoula M'Boussy,€1.20m
Aleix García,€20.00m
Álvaro García,€1.80m
Borja García,-
Carlos García,-
Dani García,-
David García,€5.00m
Eric García,€35.00m
Francisco Garcia,-
Raúl García,-
Rubén García,€1.80m
Unai García,€500k
Alejandro Garnacho,€40.00m
James Garner,€35.00m
Felix Garreta,€200k
Sékou Gassama,€650k
Johan Gastien,€200k
Federico Gatti,€16.00m
Gavi,€30.00m
Paulo Gazzaniga,€2.00m
David de Gea,€3.50m
Dennis Geiger,€1.50m
Joe Gelhardt,€10.00m
Valentin Gendrey,€7.00m
Denis Genreau,€750k
Yannick Gerhardt,€2.00m
Valère Germain,-
Gerson,€20.00m
Ismaël Gharbi,€5.00m
Paolo Ghiglione,€500k
Saman Ghoddos,€1.30m
Faouzi Ghoulam,-
Morgan Gibbs-White,€60.00m
Niko Gießelmann,-
Samuel Gigot,€1.50m
Rafa? Gikiewicz,€100k
Óscar Gil,€700k
Mario Gila,€30.00m
Billy Gilmour,€20.00m
Álvaro Giménez,€150k
Gvidas Gineitis,€5.50m
Matthias Ginter,€6.00m
Andrei Girotto,€2.50m
Olivier Giroud,€1.00m
Serge Gnabry,€20.00m
Degnand Gnonto,Not Found
Ben Godfrey,€5.50m
Pierluigi Gollini,€800k
Aleksandr Golovin,€18.00m
André Gomes,€3.50m
Angel Gomes,€12.00m
João Gomes,€35.00m
Toti Gomes,€20.00m
Dani Gómez,€800k
Joe Gomez,€15.00m
Maxi Gómez,€2.00m
Moi Gómez,€1.80m
Papu Gómez,€900k
Sergi Gómez,€500k
Sergio Gómez,€15.00m
Maxime Gonalons,-
Diego González,€5.00m
Édgar González,€1.20m
Giovanni González,€2.50m
Joan Gonzàlez,-
Nicolás González,€45.00m
Oumar Gonzalez,€1.00m
Roberto González,€700k
Jacek Góralski,€100k
Anthony Gordon,€60.00m
Leon Goretzka,€15.00m
Andoni Gorosabel,€4.00m
Robin Gosens,€4.50m
Mario Götze,€3.50m
Amine Gouiri,€28.00m
Jeffrey Gouweleeuw,€1.00m
Jonathan Gradit,€3.00m
José Gragera,€1.50m
Alberto Grassi,€1.80m
Ryan Gravenberch,€90.00m
Andrew Gravillon,€1.00m
Demarai Gray,€3.50m
Adrian Grbi?,€900k
Ivo Grbi?,€1.20m
Jack Grealish,€25.00m
Sam Greenwood,€2.50m
Michael Gregoritsch,€1.50m
Leo Greiml,€1.50m
Clément Grenier,-
Antoine Griezmann,€10.00m
Vincenzo Grifo,€5.00m
Lennart Grill,€450k
Christian Groß,-
Pascal Groß,€3.50m
Brajan Gruda,€28.00m
Ilia Gruev,€12.00m
Carlos Gruezo,€1.20m
Vicente Guaita,€100k
Andrés Guardado,-
Sergi Guardiola,€300k
Nemanja Gudelj,€2.50m
Gabriel Gudmundsson,€20.00m
Gonçalo Guedes,€6.00m
Axel Gueguin,€150k
Marc Guéhi,€65.00m
Mattéo Guendouzi,€28.00m
Raphaël Guerreiro,€6.00m
Evann Guessand,€28.00m
Ander Guevara,€3.00m
Pape Gueye,€40.00m
Josuha Guilavogui,€200k
Frederic Guilbert,€800k
Hugo Guillamón,€2.00m
Bruno Guimarães,€75.00m
Sehrou Guirassy,€40.00m
Rafik Guitane,€5.00m
Péter Gulácsi,€2.00m
Manuel Gulde,-
Gerard Gumbau,€1.40m
Robert Gumny,€800k
Ýlkay Gündoðan,Not Found
Christian Günter,€2.00m
Koray Günter,€700k
Gorka Guruzeta,€5.00m
Malo Gusto,€35.00m
Raúl Guti,€1.00m
Miguel Gutiérrez,€17.00m
Joko Gvardiol,Not Found
Darko Gyabi,€1.80m
Emmanuel Gyasi,€1.00m
Norbert Gyömbér,€900k
Christian Gytkjær,Not Found
Erling Haaland,€200.00m
Nicolas Haas,€700k
Janik Haberer,€2.50m
Alexander Hack,€600k
Munir El Haddadi,€1.50m
Jaouen Hadjam,€8.00m
André Hahn,-
Amadou Haidara,€6.00m
Massadio Haïdara,€800k
Achraf Hakimi,€80.00m
Lewis Hall,€35.00m
Sébastien Haller,€1.30m
Marcel Halstenberg,-
Mathis Hamdi,€200k
Romain Hamouma,-
Andreas Hanche-Olsen,€4.00m
Samir Handanovi?,-
Genki Haraguchi,€300k
Amine Harit,€5.00m
Luke Harris,€900k
Jack Harrison,€8.00m
Abdou Harroui,€1.80m
Makoto Hasebe,-
Hans Hateboer,€2.00m
Kai Havertz,€50.00m
Eden Hazard,-
Thorgan Hazard,€2.50m
Rhys Healey,€350k
Jan Paul van Hecke,€35.00m
Jonas Hector,-
Hwang Hee-chan,Not Found
Gauthier Hein,€5.00m
Dominique Heintz,€700k
Dean Henderson,€28.00m
Jordan Henderson,€2.00m
Liam Henderson,€1.00m
Jack Hendry,€2.50m
Wayne Hennessey,-
Benjamin Henrichs,€9.00m
Henrique,€24.00m
Luiz Henrique,€24.00m
Matheus Henrique,€4.50m
Rico Henry,€32.00m
Thomas Henry,€800k
Christophe Hérelle,€250k
Mario Hermoso,€7.00m
Aridane Hernández,€100k
Lucas Hernández,€20.00m
Luis Hernández,-
Mario Hernández,€100k
Theo Hernández,€28.00m
Ander Herrera,€500k
Sergio Herrera,€3.00m
Yangel Herrera,€9.00m
Patrick Herrmann,-
Son Heung-min,Not Found
Aaron Hickey,€16.00m
Isak Hien,€22.00m
Omar El Hilali,€15.00m
Piero Hincapié,€50.00m
Morten Hjulmand,€45.00m
Adam Hlo?ek,€12.00m
Joseph Hodge,€700k
Nicolas Höfler,€500k
Jonas Hofmann,€2.00m
Philipp Hofmann,€750k
Rob Holding,€3.00m
Lucas Höler,€3.00m
Mason Holgate,€3.00m
Emil Holm,€13.00m
Noah Holm,€1.00m
Gerrit Holtmann,€700k
Martin Hongla,€1.20m
Franck Honorat,€10.00m
Jannes Horn,€1.20m
Cédric Hountondji,€500k
Ilyes Housni,-
Luká Hrádeck?,Not Found
Petko Hristov,€2.50m
Ajdin Hrustic,€700k
Timo Hübers,€2.50m
Callum Hudson-Odoi,€30.00m
Will Hughes,€6.00m
Mats Hummels,-
Adrien Hunou,€300k
Denis Huseinbasic,€3.00m
Omari Hutchinson,€30.00m
Elseid Hysaj,€1.50m
Pierre Højbjerg,Not Found
Rasmus Højlund,€50.00m
Iago,-
Pablo Ibáñez,-
Roger Ibanez,€17.00m
Arijon Ibrahimovi?,€6.00m
Mounaim El Idrissy,€500k
Iglesias,€1.80m
Borja Iglesias,€3.00m
Igor,€50.00m
Kelechi Iheanacho,€3.00m
Jonathan Ikone,€4.00m
Ivan Ili?,€10.00m
Rareþ Ilie,Not Found
Samuel Iling-Junior,€8.00m
Emirhan Ýlkhan,Not Found
Asier Illarramendi,€500k
Ciro Immobile,€2.00m
Danny Ings,€2.50m
Marcus Ingvartsen,€2.50m
Bonke Innocent,€200k
Alexander Isak,€100.00m
Isco,€4.00m
Ismaily,€400k
Ardian Ismajli,€5.00m
Ko Itakura,€10.00m
Hiroki Ito,€18.00m
Junya Ito,€3.50m
Andreas Ivan,-
Alex Iwobi,€25.00m
Armando Izzo,€1.30m
Nicolas Jackson,€40.00m
Lee Jae-sung,Not Found
Paul Jaeckel,€1.00m
Mato Jajalo,-
Kristijan Jaki?,€6.00m
Jan Jakob Olschowsky,€450k
Ismail Jakobs,€8.00m
Marin Jakoli,Not Found
Daniel James,€12.00m
Reece James,€60.00m
Vitaly Janelt,€18.00m
Saidy Janko,€800k
Pontus Jansson,€700k
Tony Jantschke,-
Adnan Januzaj,€1.20m
Javi,€700k
Luis Javier Suárez,€28.00m
Dany Jean,€700k
Julian Jeanvier,-
Fredrik Jensen,€2.50m
Mathias Jensen,€12.00m
Moritz Jenz,€5.00m
Gabriel Jesus,€20.00m
Juan Jesus,€1.50m
Raúl Jiménez,€4.00m
Joaquín,€700k
Joelinton,€30.00m
?órir Jóhann Helgason,€2.30m
Ben Johnson,€7.00m
Brennan Johnson,€35.00m
Paul Joly,€2.50m
Curtis Jones,€35.00m
Frenkie de Jong,€45.00m
Joan Jordán,€2.00m
Filip Jörgensen,€15.00m
Jorginho,€5.00m
Josan,-
Willian José,€1.40m
Joselu,€3.50m
Diogo Jota,-
Stevan Joveti?,€300k
Luka Jovi?,€7.00m
Juanmi,€1.20m
Juanpe,€500k
Jubal,€2.00m
Christopher Jullien,€700k
Anthony Jung,€700k
Lago Junior,€100k
Hamed Junior Traorè,€15.00m
Vinicius Júnior,€150.00m
Josip Juranovi?,€2.50m
James Justin,€12.00m
Mathias Jørgensen,€300k
Ozan Kabak,€10.00m
Issa Kaboré,€4.00m
Abdoul Kader Bamba,€1.00m
Pavel Kade?ábek,€1.20m
Tino Kadewere,€1.80m
Kaiky,€1.50m
Florian Kainz,€1.00m
Gaël Kakuta,€300k
Sasa Kalajdzic,€2.00m
Arnaud Kalimuendo,€25.00m
Yayah Kallon,€400k
Felix Kalu Nmecha,€50.00m
Gedeon Kalulu,€1.30m
Pierre Kalulu,€32.00m
Daichi Kamada,€12.00m
Waren Kamanzi,Not Found
Bingourou Kamara,€700k
Boubacar Kamara,€40.00m
Jakub Kami?ski,€12.00m
Marcin Kami?ski,€300k
Kevin Kampl,-
Nordine Kandil,€1.00m
Harry Kane,€65.00m
Wilfried Kanga,€3.00m
Lee Kangin,Not Found
N'Golo Kanté,€4.50m
Kenan Karaman,€2.00m
Yann Karamoh,€1.50m
Atakan Karazor,€9.00m
Jon Karrikaburu,€2.00m
Rick Karsdorp,€2.50m
Denso Kasius,€6.00m
Thomas Kastanaras,€300k
Grigoris Kastanos,€1.30m
Silas Katompa,€3.00m
Moise Kean,€40.00m
Michael Keane,€4.00m
Neeskens Kebano,-
Kévin Keben Biakolo,€1.60m
Thilo Kehrer,€15.00m
Check Keita,€3.00m
Naby Keïta,€1.50m
Yannik Keitel,€2.00m
Lloyd Kelly,€20.00m
Marc-Oliver Kempf,Not Found
Kenedy,€700k
Jonjoe Kenny,€2.50m
Franck Kessié,€12.00m
Saîf-Eddine Khaoui,€700k
Wahbi Khazri,-
Rani Khedira,€2.00m
Anthony Khelifa,€50k
Kike,€8.00m
Luca Kilian,€100k
Max Kilman,€16.00m
Joshua Kimmich,€40.00m
Presnel Kimpembe,€4.00m
Jakub Kiwior,€27.00m
Simon Kjær,Not Found
Mateusz Klich,€300k
Lukas Klostermann,€3.50m
Justin Kluivert,€30.00m
Ansgar Knauff,€15.00m
Robin Knoche,€500k
Gregor Kobel,€40.00m
Robin Koch,€15.00m
Dominik Kohr,€2.00m
Koke,€6.00m
Sead Kolainac,Not Found
Luca Koleosho,€4.00m
Randal Kolo Muani,€22.00m
Timothée Kolodziejczak,€200k
Ibrahima Konaté,€50.00m
Geoffrey Kondogbia,€4.00m
Ibrahima Koné,€500k
Kouadio Koné,€50.00m
Youssouf Koné,€250k
Ezri Konsa,€40.00m
Teun Koopmeiners,€20.00m
Odilon Kossonou,Not Found
Filip Kosti?,€3.50m
Christian Kouamé,€2.00m
Rominigue Kouamé,€1.00m
Tomá Koubek,Not Found
Kalidou Koulibaly,€5.00m
Jules Koundé,€65.00m
Boubakar Kouyaté,Not Found
Cheikhou Kouyaté,€100k
Mateo Kova?i?,€12.00m
Viktor Kovalenko,€700k
Soichiro Kozuki,€300k
Emil Krafth,€1.00m
Alex Král,€2.50m
Andrej Kramari?,€3.00m
Christoph Kramer,-
Tom Krauß,€4.50m
Julian Kristoffersen,-
Raimonds Krollis,€1.30m
Toni Kroos,-
Rade Kruni?,€4.00m
Max Kruse,-
Lukas Kübler,€1.50m
Takefusa Kubo,€30.00m
Dejan Kulusevski,€35.00m
Sael Kumbedi,€12.00m
Marash Kumbulla,€4.00m
Pierre Kunde,-
Alou Kuol,€350k
Layvin Kurzawa,€750k
Khvicha Kvaratskhelia,€90.00m
Grejohn Kyei,€400k
Daniel Kyereh,Not Found
Giorgos Kyriakopoulos,€2.00m
César de la Hoz,€150k
Luca de la Torre,€3.00m
Rémy Labeau Lascary,€3.00m
Gaëtan Laborde,€3.50m
Alexandre Lacazette,€5.00m
Qazim Laçi,€2.80m
Maxence Lacroix,€40.00m
Alban Lafont,€3.00m
Aïssa Laïdouni,€3.80m
Konrad Laimer,€32.00m
Stefan Lainer,€1.00m
Kenny Lala,€1.80m
Adam Lallana,-
Vassilis Lambropoulos,Not Found
Érik Lamela,-
Mohamed Lamine Bayo,€4.00m
Sam Lammers,€3.00m
Tariq Lamptey,€5.00m
Manuel Lanzini,€1.00m
Aymeric Laporte,€9.00m
Julien Laporte,€900k
Cyle Larin,€3.50m
Juan Larios,€1.50m
Yasser Larouci,€1.50m
Jordan Larsson,€3.00m
Kevin Lasagna,€500k
Jamaal Lascelles,€1.20m
Latasa,€1.50m
Toni Lato,€1.50m
Danny Latza,€125k
Armand Lauriente,€18.00m
Roméo Lavia,€25.00m
Lázaro,€200k
Valentino Lazaro,€4.00m
Marko Lazeti?,€800k
Darko Lazovi?,€500k
Manuel Lazzari,€2.00m
Théo Le Bris,€4.50m
Julien Le Cardinal,€1.50m
Jérémy Le Douaron,€2.50m
Enzo Le Fée,€25.00m
Vincent Le Goff,-
Maxime Le Marchand,-
Robin Le Normand,€25.00m
Rafael Leão,€65.00m
Paolo Lebas,-
Benjamin Lecomte,€1.20m
Jeremías Ledesma,€1.80m
Pierre Lees-Melou,€5.00m
Diogo Leite,€12.00m
Maxim Leitsch,€1.00m
Florian Lejeune,€2.00m
Iñigo Lekue,€1.20m
Thomas Lemar,€2.00m
Félix Lemaréchal,€8.00m
Dexter Lembikisa,€1.20m
Mario Lemina,€5.00m
Tim Lemperle,€15.00m
Clément Lenglet,€5.00m
Bernd Leno,€8.00m
Christopher Lenz,€400k
Sergio León,-
Johann Lepenant,€7.00m
Mehdi Léris,€2.00m
Jefferson Lerma,€8.00m
Benjamin Leroy,€100k
Léo Leroy,€3.00m
Ruan Levine,-
Robert Lewandowski,€8.00m
Jamie Leweling,€40.00m
Jamal Lewis,€2.00m
Rico Lewis,€32.00m
Keane Lewis-Potter,€25.00m
Dimitri Liénard,-
Philipp Lienhart,€12.00m
Matthijs de Ligt,€40.00m
Victor Lindelöf,€6.00m
Jesper Lindstrøm,€5.00m
Karol Linetty,€1.50m
Jesse Lingard,€2.20m
Pol Lirola,€2.00m
Mateusz Lis,€2.50m
Marcin Listkowski,€100k
Dejan Ljubicic,€2.50m
Javier Llabrés,€800k
Diego Llorente,€3.00m
Marcos Llorente,€22.00m
Hugo Lloris,€1.00m
Giovani Lo Celso,€10.00m
Stanislav Lobotka,€15.00m
Manuel Locatelli,€25.00m
Luka Lochoshvili,€2.50m
Banzouzi Locko,Not Found
Renan Lodi,€12.00m
Ruben Loftus-Cheek,€10.00m
Sean Longstaff,€16.00m
Ademola Lookman,€40.00m
Anthony Lopes,€1.00m
Rony Lopes,€1.20m
David López,€800k
Diego López,-
Maxime Lopez,€5.00m
Pau López,€2.50m
Unai López,€2.50m
Dion Lopy,€4.00m
Anthony Losilla,-
Jordan Lotomba,€3.50m
Matteo Lovato,€2.20m
Dejan Lovren,€500k
Sandi Lovri?,€4.50m
Jamal Lowe,€800k
Anthony Lozano,€700k
Hirving Lozano,€5.00m
Pol Lozano,€6.00m
Jean Lucas,€12.00m
Jhon Lucumí,€25.00m
José Luis Gayà,€5.00m
José Luis Morales,€300k
José Luis Palomino,€550k
Douglas Luiz,€20.00m
Romelu Lukaku,€12.00m
Castello Lukeba,€45.00m
Dodi Lukebakio,€20.00m
Saa Luki?,Not Found
Andriy Lunin,€15.00m
Andrey Lunyov,€1.00m
Sebastiano Luperto,€4.00m
Lyanco,€5.00m
Charalambos Lykogiannis,Not Found
Youssouf M'Changama,€175k
Awer Mabil,€400k
Alexis Mac Allister,€80.00m
Deiver Machado,€2.00m
Darwin Machís,€400k
James Maddison,€25.00m
Noni Madueke,€50.00m
Pablo Maffeo,€5.00m
Lisandro Magallán,€1.20m
Soungoutou Magassa,€17.00m
Giulio Maggiore,€900k
Giangiacomo Magnani,€1.40m
Hugo Magnetti,€6.00m
Yohann Magnin,€1.00m
Harry Maguire,€10.00m
Jon Magunacelaya,Not Found
Riyad Mahrez,€7.00m
Arne Maier,€2.00m
Mike Maignan,€25.00m
Linton Maina,€3.00m
Ainsley Maitland-Niles,€10.00m
Lovro Majer,€10.00m
Jean-Victor Makengo,€6.00m
Béni Makouana,€300k
Nemanja Maksimovi?,€4.20m
Tyrell Malacia,€5.00m
Lorenzo Malagrida,€150k
Daniel Maldini,€10.00m
Youssef Maleh,€1.00m
Donyell Malen,€35.00m
Ruslan Malinovskyi,€2.50m
Hugo Mallo,-
Mickael Malsa,€300k
Giorgi Mamardashvili,€28.00m
Hianga Mananga Mbock,Not Found
Gianluca Mancini,€15.00m
Steve Mandanda,-
Reinildo Mandava,€5.00m
Aïssa Mandi,€1.00m
Rolando Mandragora,€10.00m
Sadio Mané,€7.00m
Orel Mangala,€10.00m
Thomas Mangani,-
Vito Mannone,-
Javier Manquillo,-
Myziane Maolida,€800k
Faitout Maouassa,€800k
Sekou Mara,€4.00m
Maranhão,€1.50m
Marcão,€2.50m
Solly March,€2.00m
Agustín Marchesín,€700k
Vincent Marchetti,€2.00m
Riccardo Marchizza,€1.00m
Gian Marco Ferrari,-
Emiliano Marcondes,€800k
Óscar de Marcos,-
José Mari,€12.00m
Pablo Marí,€2.50m
José María Giménez,€12.00m
Mariano,€5.00m
Pablo Marín,€8.00m
R?zvan Marin,€3.50m
Guillermo Maripán,€3.00m
Marlon,€2.50m
Omar Marmoush,€60.00m
Marquinhos,€30.00m
Luca Marrone,€75k
Eric Martel,€8.00m
Roger Martí,€300k
Anthony Martial,€5.00m
Aarón Martín,€7.00m
Ander Martin,€1.80m
Andrés Martín,-
Iván Martín,€6.00m
Jonas Martin,€300k
Martinelli,€45.00m
Arnau Martinez,€10.00m
Emiliano Martínez,€15.00m
Iñigo Martínez,€4.50m
Lautaro Martínez,€85.00m
Lisandro Martínez,€40.00m
Lucas Martínez Quarta,€4.50m
Roger Martínez,€1.50m
Gelson Martins,€2.50m
Adam Marui?,Not Found
Omar Mascarell,€800k
Adam Masina,€1.00m
Jordi Masip,-
Erhan Maovi?,Not Found
Han-Noah Massengo,€6.00m
Yanis Massolin,€4.00m
Jaime Mata,€100k
Pape Matar Sarr,€32.00m
Eliot Matazo,€2.00m
Jean-Philippe Mateta,€35.00m
Nemanja Mati?,€1.80m
Joël Matip,-
Henning Matriciani,€350k
Chrislain Matsima,€22.00m
Azor Matusiwa,€11.00m
Neal Maupay,€4.00m
Aïman Maurer,€500k
Stephy Mavididi,€8.00m
Konstantinos Mavropanos,€15.00m
Christian Mawissa,€15.00m
Philipp Max,€600k
Eric Maxim Choupo-Moting,€1.20m
Luís Maximiano,€3.50m
Fernand Mayembo,€650k
Borja Mayoral,€7.50m
Noussair Mazraoui,€20.00m
Pasquale Mazzocchi,€1.70m
Kevin Mbabu,€3.00m
Kylian Mbappé,€200.00m
Mamadou Mbaye,€450k
Chancel Mbemba,€2.50m
Bryan Mbeumo,€80.00m
Jason Mbock,€75k
Nathanael Mbuku,€2.00m
John McGinn,€15.00m
Scott McKenna,€4.00m
Weston McKennie,€30.00m
Dwight McNeil,€20.00m
Scott McTominay,€45.00m
Gary Medel,€50k
Facundo Medina,€18.00m
Ben Mee,€500k
Bamo Meïté,€7.00m
Soualiho Meïté,€1.80m
Farid El Melali,€1.50m
Gonzalo Melero,€600k
Birger Meling,€1.50m
Memphis,€8.00m
Houboulang Mendes,€700k
Nuno Mendes,€75.00m
Thiago Mendes,€1.50m
Brais Méndez,€12.00m
Diego Méndez,€50k
Antoine Mendy,€6.00m
Arial Mendy,€350k
Batista Mendy,€10.00m
Edouard Mendy,€4.50m
Ferland Mendy,€6.00m
Nampalys Mendy,€1.20m
Gideon Mensah,€3.50m
Chris Mepham,€3.50m
Alex Meret,€14.00m
Mikel Merino,€30.00m
Quentin Merlin,€12.00m
Yýldýrým Mert Çetin,Not Found
Roque Mesa,€300k
Illan Meslier,€10.00m
Lionel Messi,€15.00m
Junior Messias,€1.20m
Thomas Meunier,€1.80m
Alexander Meyer,€800k
Sven Michel,€300k
Alexander Mighten,€700k
Tommaso Milanese,€500k
Nikola Milenkovi?,€30.00m
Arkadiusz Milik,€1.50m
Sergej Milinkovi?-Savi?,€15.00m
Vanja Milinkovi?-Savi?,€20.00m
Éder Militão,€25.00m
Luka Milivojevi?,€700k
Luis Milla,-
Pere Milla,€1.20m
Enzo Millot,€28.00m
James Milner,€750k
Marko Milovanovi?,€2.00m
Kim Min-jae,Not Found
Yerry Mina,€3.00m
Takumi Minamino,€12.00m
Tyrone Mings,€4.00m
Óscar Mingueza,€18.00m
Rafa Mir,€4.00m
Aleksei Miranchuk,€8.00m
Juan Miranda,€15.00m
Fabio Miretti,€16.00m
Tyrick Mitchell,€25.00m
Kaoru Mitoma,€25.00m
Aleksandar Mitrovi?,€12.00m
Stefan Mitrovi?,€900k
Maximilian Mittelstädt,€18.00m
Henrikh Mkhitaryan,€3.50m
Anthony Modeste,€50k
Luka Modri?,€4.00m
Terem Moffi,€10.00m
Mostafa Mohamed,€4.00m
Tobias Mohr,€900k
Johan Mojica,€1.80m
Clinton Mola,€250k
Nahuel Molina,€15.00m
Salvatore Molina,€300k
Florent Mollet,€400k
Jon Moncayola,€7.00m
Monchu,€6.00m
César Montes,€7.00m
Daniele Montevago,€300k
Gonzalo Montiel,€4.50m
Lorenzo Montipò,€1.30m
Martín Montoya,-
Kieffer Moore,€1.50m
Andrew Moran,€2.00m
Álvaro Morata,€8.00m
Jon Morcillo,€2.00m
Alberto Moreno,€1.00m
Álex Moreno,€3.50m
Diego Moreno,-
Gerard Moreno,€2.80m
Marlos Moreno,€500k
Tete Morente,€1.80m
Ilaix Moriba,€10.00m
Manu Morlanes,€2.40m
Nikola Moro,€6.50m
Loren Morón,€2.50m
Cristhian Mosquera,€35.00m
Dany Mota,€3.00m
Lebo Mothiba,€900k
Youssoufa Moukoko,€7.00m
Steve Mounié,€1.80m
Mason Mount,€30.00m
Lucas Moura,€2.50m
Bevic Moussiti-Oko,-
João Moutinho,€500k
Samuel Moutoussamy,€1.20m
Divin Mubama,€6.00m
Mykhailo Mudryk,Not Found
Nordi Mukiele,€18.00m
Mert Müldür,€7.00m
Florian Müller,€1.20m
Thomas Müller,€5.00m
Abdul Mumin,€4.00m
Marshall Munetsi,€12.00m
Iker Muniain,-
Aihen Muñoz,€3.50m
Pablo Muñoz,€250k
Luis Muriel,€900k
Jeison Murillo,€500k
Vedat Muriqi,€4.50m
Jacob Murphy,€15.00m
Nicola Murru,€100k
Yunus Musah,€18.00m
Jamal Musiala,€120.00m
Juan Musso,€3.00m
Suliman Mustapha,Not Found
Yvon Mvogo,€3.00m
Enock Mwepu,-
Vitaliy Mykolenko,€25.00m
Joakim Mæhle,Not Found
Obite N'Dicka,Not Found
Nathan N'Goumou,Not Found
Stanley N'Soki,Not Found
Nacho,€1.80m
Nikolas Nartey,€7.00m
Juanjo Narváez,€350k
Matija Nastasi?,€700k
Roberto Navarro,-
Jesús Navas,-
Keylor Navas,€800k
Michel Ndary Adopo,€6.00m
Youssouf Ndayishimiye,€8.00m
Papa Ndiaga Yade,€450k
Wilfred Ndidi,€10.00m
Tanguy Ndombele,€3.00m
Álvaro Negredo,-
Reiss Nelson,€12.00m
Ilija Nestorovski,€200k
